ctrl,m2,m1,m3,sim_time,log_time
0,47597.0,146220.0,90266.0,378.69,2021-04-05 05:33:47
0,47153.0,146775.0,92553.0,379.21,2021-04-05 05:45:43
0,47116.0,146864.0,94077.0,379.73,2021-04-05 05:57:48
0,47492.0,146407.0,94014.0,380.25,2021-04-05 06:09:47
0,47495.0,146457.0,94083.0,380.81,2021-04-05 06:21:43
0,47245.0,146581.0,94208.0,381.36,2021-04-05 06:33:41
0,47308.0,146505.0,94362.0,381.92,2021-04-05 06:45:52
0,47200.0,146748.0,94520.0,382.49,2021-04-05 06:58:31
0,46738.0,147316.0,94595.0,383.04,2021-04-05 07:10:57
0,46609.0,147571.0,94797.0,383.6,2021-04-05 07:22:49
0,46687.0,147642.0,94906.0,384.19,2021-04-05 07:34:56
0,46413.0,148106.0,95071.0,384.81,2021-04-05 07:47:09
0,46606.0,147784.0,95128.0,385.41,2021-04-05 07:59:12
0,46623.0,147723.0,95227.0,385.91,2021-04-05 08:11:05
0,46664.0,147558.0,95397.0,386.5,2021-04-05 08:23:05
0,46838.0,147375.0,95581.0,387.06,2021-04-05 08:34:47
0,46880.0,147275.0,95750.0,387.63,2021-04-05 08:46:42
0,46835.0,147265.0,95878.0,388.16,2021-04-05 08:59:07
0,47067.0,147014.0,96072.0,388.72,2021-04-05 09:11:05
0,46653.0,147281.0,96156.0,389.29,2021-04-05 09:22:45
0,46313.0,147388.0,96156.0,389.84,2021-04-05 09:34:28
0,46177.0,147459.0,96328.0,390.41,2021-04-05 09:46:51
0,45610.0,147555.0,96341.0,390.98,2021-04-05 09:58:31
0,45832.0,147230.0,96556.0,391.56,2021-04-05 10:10:32
0,46153.0,146762.0,96633.0,392.16,2021-04-05 10:22:23
0,46183.0,146629.0,96659.0,392.77,2021-04-05 10:34:25
0,46067.0,146539.0,96637.0,393.35,2021-04-05 10:46:20
0,46600.0,145858.0,96594.0,393.94,2021-04-05 10:58:11
0,46811.0,145779.0,96632.0,394.56,2021-04-05 11:10:27
0,47188.0,145573.0,96597.0,395.18,2021-04-05 11:22:44
0,47354.0,145553.0,96506.0,395.74,2021-04-05 11:34:31
0,47471.0,145621.0,96509.0,396.31,2021-04-05 11:46:52
